Name,Gender,Phone Number,Age,Indian City,Indian State,Track,Time Used Per Day (hrs),Speed of Learning (1-10),Assessment Score,Historical Assessment Average
IshanPatel,Male,+91 9291319806,14,Bhubaneswar,Odisha,Science,7.92,6.33,97,88.21
AanyaYadav,Female,+91 8615096592,18,Ludhiana,Punjab,History,2,4.02,92,73.18
ShauryaPatel,Male,+91 7908526095,22,Coimbatore,Tamil Nadu,Philosophy,6.72,9.85,71,67.49
KiaraSharma,Female,+91 9593961919,4,Ludhiana,Punjab,Politics,5.39,8.43,66,58.41
IraReddy,Female,+91 8413448325,7,Kolkata,West Bengal,History,2.74,8,65,57.74
NavyaKumar,Female,+91 7219158311,7,Kolkata,West Bengal,Language,2.86,8.18,96,73.24
IshanSharma,Male,+91 9120846806,21,Coimbatore,Tamil Nadu,Language,3.33,6.23,74,71.12
AnanyaJoshi,Female,+91 6051673767,6,Mysore,Karnataka,Geography,1.1,2.58,86,56.49
AadyaReddy,Female,+91 6630908457,21,Indore,Madhya Pradesh,Politics,5.44,9.53,69,55.56
AanyaJoshi,Female,+91 7728257772,13,Mysore,Karnataka,Politics,4.18,3.85,85,63.57
AanyaSingh,Female,+91 6221608413,6,Guwahati,Assam,Geography,1.15,9.97,80,56.1
AaravGupta,Male,+91 8573354585,4,Ahmedabad,Gujarat,Economics,1.68,2.53,77,67.29
IshanGupta,Male,+91 8671372097,17,Guwahati,Assam,Philosophy,7.82,8.77,76,57.83
AdityaKhan,Male,+91 7704913462,20,Patna,Bihar,Basic Coding Languages,4.11,4.65,82,63.97
AryanJoshi,Male,+91 7461657993,3,Raipur,Chhattisgarh,Economics,7.23,7.2,59,53.78
KiaraSharma,Female,+91 9327312667,19,Indore,Madhya Pradesh,Politics,5.71,2.55,68,54.53
AdityaSingh,Male,+91 9069906830,22,Ludhiana,Punjab,Science,4.34,6.39,85,75.2
KiaraPatel,Female,+91 6426075844,17,Raipur,Chhattisgarh,Mathematics,3.31,2.07,68,51.31
ShauryaReddy,Male,+91 7396170945,7,Nashik,Maharashtra,Mathematics,5.13,8.07,72,66.11
NavyaSingh,Female,+91 8133279817,20,Dehradun,Uttarakhand,Science,6.3,9.75,56,51.29
AaravGupta,Male,+91 9333798728,5,Mysore,Karnataka,Politics,7,1.29,65,59.51
ReyanshPatel,Male,+91 6613799223,12,Guwahati,Assam,Language,5.67,8.47,62,59.02
IraJoshi,Female,+91 9935587924,14,Jaipur,Rajasthan,Language,3.54,7.28,81,58.64
VivaanVerma,Male,+91 8161629317,5,Dehradun,Uttarakhand,Language,7.52,5.55,66,64.45
MyraSharma,Female,+91 8424463305,21,Kolkata,West Bengal,Economics,4.14,2.31,95,72.9
VivaanGupta,Male,+91 6060127983,5,Kolkata,West Bengal,Geography,6.41,3.65,79,72.48
AadyaGupta,Female,+91 8994579519,15,Visakhapatnam,Andhra Pradesh,Politics,7.95,1.04,66,61.14
AryanKhan,Male,+91 6168742008,10,Ranchi,Jharkhand,Language,5.67,4.63,90,73.23
DiyaJoshi,Female,+91 6016444054,14,Mumbai,Maharashtra,Mathematics,6.63,3.33,50,50
AanyaPatel,Female,+91 8213855723,13,Patna,Bihar,Politics,2.41,3.87,81,72.77
KaranPatel,Male,+91 7490511039,3,Hyderabad,Telangana,History,7.23,5.17,60,59.1
IshanYadav,Male,+91 9795688024,21,Bengaluru,Karnataka,Politics,1.66,7.59,70,51.95
NavyaYadav,Female,+91 7023726368,22,Dehradun,Uttarakhand,Geography,1.12,3.78,65,64.18
IshanYadav,Male,+91 6753126330,11,Mysore,Karnataka,Mathematics,5.81,7.85,52,50.88
ArjunSingh,Male,+91 9004972270,20,Kolkata,West Bengal,Mathematics,1.27,5.59,78,57.7
NavyaKumar,Female,+91 7973341538,3,Indore,Madhya Pradesh,Mathematics,2.27,3.34,70,68
VivaanReddy,Male,+91 8912601548,5,Raipur,Chhattisgarh,Mathematics,3.93,1.31,93,80.24
IshanYadav,Male,+91 6395308844,7,Thiruvananthapuram,Kerala,Mathematics,7.54,5.76,56,55.77
AadyaVerma,Female,+91 7179330347,20,Mysore,Karnataka,Politics,2.37,3.99,75,60.96
ShauryaPatel,Male,+91 7046032005,22,Agra,Uttar Pradesh,Politics,7.73,3.39,97,92
AdityaKumar,Male,+91 7532499717,9,Bhubaneswar,Odisha,Basic Coding Languages,3.52,8.87,79,51.59
AryanJoshi,Male,+91 6035732159,22,Kochi,Kerala,Language,2.91,9.91,72,58.85
PariSharma,Female,+91 8288169334,4,Mumbai,Maharashtra,Science,5.34,4.37,56,50.11
RohanJoshi,Male,+91 7095692635,10,Patna,Bihar,Mathematics,3.51,1.36,90,65.76
MyraKhan,Female,+91 7718771495,8,Raipur,Chhattisgarh,Geography,7.18,3.08,65,55.44
AaravSharma,Male,+91 8543384081,9,Raipur,Chhattisgarh,Politics,3.07,2.06,71,61.3
AnanyaJoshi,Female,+91 8104613659,15,Indore,Madhya Pradesh,Politics,4.94,4.06,99,60.04
AanyaKumar,Female,+91 8206899575,8,Ranchi,Jharkhand,Economics,3.79,9.16,79,55.62
VivaanKhan,Male,+91 7444446732,13,Raipur,Chhattisgarh,Economics,1.23,4.22,77,74.24
AaravGupta,Male,+91 8009649930,17,Jaipur,Rajasthan,Mathematics,3.44,6.88,65,54.7
ShauryaKumar,Male,+91 7973823203,11,Ludhiana,Punjab,History,5.4,6.09,68,61.09
DiyaGupta,Female,+91 8642935793,17,Kozhikode,Kerala,Science,4.28,3.19,67,59.6
IraGupta,Female,+91 6803141956,12,Patna,Bihar,Language,1.43,3.05,57,54.5
PariReddy,Female,+91 6269483708,21,Ranchi,Jharkhand,Politics,5.99,3.02,93,88.6
MyraSharma,Female,+91 8683174056,12,Bhubaneswar,Odisha,Geography,7.08,5.25,65,55.68
AnanyaGupta,Female,+91 7005296537,15,Meerut,Uttar Pradesh,Geography,4.15,6.67,74,67.27
KaranSingh,Male,+91 9527458843,20,Patna,Bihar,Philosophy,7.06,5.19,92,74.47
RohanPatel,Male,+91 8627847055,13,Coimbatore,Tamil Nadu,Basic Coding Languages,7.85,9.06,89,58.08
KiaraKumar,Female,+91 9392777662,5,Dehradun,Uttarakhand,Language,5,8.49,93,55.86
KiaraKhan,Female,+91 8621622547,16,Meerut,Uttar Pradesh,Science,2.49,4.76,60,59.72
AadyaSharma,Female,+91 7750939830,20,Hyderabad,Telangana,Mathematics,6.85,2.53,52,50.25
SiyaKhan,Female,+91 7916006976,16,Bengaluru,Karnataka,Science,2.27,2.71,89,68.69
AaravPatel,Male,+91 6314610229,9,Visakhapatnam,Andhra Pradesh,Science,2.71,3.17,90,57.55
AnanyaYadav,Female,+91 9674575712,5,Guwahati,Assam,Mathematics,3.47,6.28,74,51.44
ShauryaKhan,Male,+91 6911730850,5,Kochi,Kerala,Language,5.79,1.14,90,57.09
KiaraVerma,Female,+91 6658276074,18,Varanasi,Uttar Pradesh,Politics,5.03,3.19,57,56.92
AadyaKhan,Female,+91 8393011815,21,Madurai,Tamil Nadu,Science,2.85,8.22,65,63.86
VivaanSingh,Male,+91 8757194716,13,Bhubaneswar,Odisha,History,5.26,2.01,61,59.06
NavyaVerma,Female,+91 8070577717,18,Jaipur,Rajasthan,Mathematics,7.43,5.22,57,53.56
IraVerma,Female,+91 8893359729,20,Guwahati,Assam,Mathematics,2.11,2.69,98,82.2
SiyaSharma,Female,+91 8254041343,10,Kolkata,West Bengal,Language,2.08,1.43,62,53.83
SiyaKumar,Female,+91 8242306554,11,Surat,Gujarat,Basic Coding Languages,5.32,5.91,63,57.42
KaranVerma,Male,+91 8631897649,4,Ahmedabad,Gujarat,Language,1.18,2.56,76,71.12
NavyaSharma,Female,+91 6783303686,4,Coimbatore,Tamil Nadu,Mathematics,5.87,6.25,86,71.88
VivaanVerma,Male,+91 9102781631,20,Bengaluru,Karnataka,Geography,1.51,9.8,54,50.14
AnanyaGupta,Female,+91 7878443621,15,Surat,Gujarat,Geography,1.76,9.18,62,50.24
AryanGupta,Male,+91 6921451701,16,Visakhapatnam,Andhra Pradesh,Language,4.4,8.39,57,53.6
ArjunSingh,Male,+91 7308904365,13,Kanpur,Uttar Pradesh,Science,3.99,6.56,77,66.15
AnanyaYadav,Female,+91 9660095933,6,Ludhiana,Punjab,History,6.39,7.55,96,71.44
SiyaKhan,Female,+91 8014664837,14,Visakhapatnam,Andhra Pradesh,Economics,2.54,2.48,82,80.25
KiaraGupta,Female,+91 6364013985,7,Jaipur,Rajasthan,Economics,5.58,9.01,81,58.74
RohanGupta,Male,+91 7386908701,20,Patna,Bihar,Economics,1.49,4.34,52,50.84
VivaanReddy,Male,+91 8190931948,16,Indore,Madhya Pradesh,Politics,3.07,3.76,76,60.47
AryanVerma,Male,+91 9898533435,14,Visakhapatnam,Andhra Pradesh,History,4.78,2.19,86,73.16
AdityaJoshi,Male,+91 9578714197,10,Kolkata,West Bengal,Language,5.62,7.55,79,52.89
IraSharma,Female,+91 7569248778,13,Coimbatore,Tamil Nadu,Mathematics,7.08,7.92,82,60.82
KiaraKhan,Female,+91 8068568540,13,Ludhiana,Punjab,Economics,4.03,9.17,59,57.86
VivaanReddy,Male,+91 9829508942,6,Ludhiana,Punjab,Politics,2.84,9.92,87,72.75
AryanSingh,Male,+91 8013412863,16,Bhubaneswar,Odisha,Politics,3.5,3.67,62,55.55
ShauryaSharma,Male,+91 8350441244,20,Meerut,Uttar Pradesh,Economics,3.6,6.79,53,50.95
AdityaReddy,Male,+91 7573276972,3,Kolkata,West Bengal,Language,7.49,3.11,91,60.44
KaranKhan,Male,+91 7161253989,5,Guwahati,Assam,Language,2.67,9.91,63,51.68
ShauryaVerma,Male,+91 7246348454,13,Jaipur,Rajasthan,Language,6,4.6,99,75.35
IshanKumar,Male,+91 8461946522,9,Bhubaneswar,Odisha,Economics,5.19,3.32,99,93.09
DiyaPatel,Female,+91 6750778499,11,Madurai,Tamil Nadu,Economics,7.24,5.25,57,56.2
ReyanshYadav,Male,+91 8238330525,8,Ranchi,Jharkhand,Economics,5.61,7.44,55,50.78
AnanyaSharma,Female,+91 6797181454,8,Guwahati,Assam,Geography,7.59,8.75,54,51.19
RohanGupta,Male,+91 9103861821,12,Guwahati,Assam,Mathematics,7.17,9.7,72,68.88
AryanJoshi,Male,+91 6553475745,20,Nagpur,Maharashtra,Philosophy,1.63,8.87,80,78.24
IraPatel,Female,+91 8071272210,19,Jaipur,Rajasthan,History,6.09,5.55,74,61.64
AryanKhan,Male,+91 9053497584,4,Lucknow,Uttar Pradesh,Economics,1.78,8.99,55,52.63
NavyaKhan,Female,+91 6054831475,11,Coimbatore,Tamil Nadu,Geography,3.13,2.5,69,52.77
NavyaGupta,Female,+91 6598744204,3,Ranchi,Jharkhand,Politics,4.66,8.55,77,67.01
AdityaSingh,Male,+91 9694623270,12,Ranchi,Jharkhand,Economics,7.48,1.89,68,65.52
VivaanSingh,Male,+91 7924413955,19,Bhubaneswar,Odisha,Language,3.23,1.88,86,79.4
AaravPatel,Male,+91 7021316088,19,Nashik,Maharashtra,Politics,3.28,3.09,55,50.98
ReyanshPatel,Male,+91 6731946866,14,Pune,Maharashtra,Geography,5.68,4.46,100,52.46
AanyaSingh,Female,+91 7863838715,4,Hyderabad,Telangana,Mathematics,6.53,7.28,79,66.98
AdityaReddy,Male,+91 8855675288,16,Bhubaneswar,Odisha,History,4.22,1.68,52,51.52
RohanSharma,Male,+91 9285214583,9,Hyderabad,Telangana,Science,1.21,6.44,62,59.06
PariYadav,Female,+91 8962567258,12,Raipur,Chhattisgarh,Language,3.55,7.59,58,50.16
KaranKhan,Male,+91 6227532997,16,Kolkata,West Bengal,Basic Coding Languages,1.34,1.11,93,55.45
AdityaJoshi,Male,+91 7603000005,18,Bhubaneswar,Odisha,Mathematics,2.73,3.09,56,53.16
ReyanshKumar,Male,+91 9054791334,20,Nagpur,Maharashtra,Language,6.32,3.54,85,76.04
KiaraKhan,Female,+91 8665138891,18,Hyderabad,Telangana,History,4.88,3.69,100,90.44
PariGupta,Female,+91 9458561874,20,Ranchi,Jharkhand,History,1.24,3.54,62,53.51
AdityaKumar,Male,+91 9238922867,18,Bengaluru,Karnataka,Science,1.1,9.78,87,77.48
AanyaSharma,Female,+91 6360930168,15,Ahmedabad,Gujarat,Mathematics,7.17,1.92,50,50
MyraKumar,Female,+91 8010202137,15,Agra,Uttar Pradesh,Economics,1.12,6.84,56,55.2
RohanYadav,Male,+91 6810226222,7,Kozhikode,Kerala,Language,6.79,5.4,77,60.34
AdityaReddy,Male,+91 7371796687,19,Ahmedabad,Gujarat,Philosophy,7.59,1.29,64,55.42
AaravKumar,Male,+91 8978546745,3,Patna,Bihar,Language,2.59,6.45,70,50.59
IshanKumar,Male,+91 7659719835,20,Ludhiana,Punjab,Geography,6.95,8.66,65,64.55
KaranYadav,Male,+91 7672296783,10,Kanpur,Uttar Pradesh,Language,3.63,1.56,80,53.22
AaravGupta,Male,+91 7704919263,5,Ahmedabad,Gujarat,Language,7.96,4.54,65,57.29
SiyaGupta,Female,+91 7792788924,13,Bhubaneswar,Odisha,Mathematics,4.48,4.46,68,60.87
AdityaJoshi,Male,+91 8558721300,22,Kolkata,West Bengal,Geography,1.26,9.1,67,65.77
AnanyaSingh,Female,+91 7773533158,12,Thiruvananthapuram,Kerala,Politics,2.76,6.44,72,52.61
AryanSingh,Male,+91 7208071132,11,Kolkata,West Bengal,Science,5.19,7.2,77,54.31
SiyaVerma,Female,+91 6593734559,21,Raipur,Chhattisgarh,Economics,6.95,5.23,96,80.3
AryanVerma,Male,+91 7374161544,16,Patna,Bihar,Politics,6.16,9.81,88,71.96
AryanYadav,Male,+91 8854448772,19,Indore,Madhya Pradesh,Philosophy,1.02,1.1,93,60.39
DiyaGupta,Female,+91 9320992530,19,Visakhapatnam,Andhra Pradesh,History,7.23,5.88,71,61.35
MyraSharma,Female,+91 7157965723,13,Raipur,Chhattisgarh,Basic Coding Languages,7.08,1.96,53,51.69
AryanPatel,Male,+91 6759576004,12,Ahmedabad,Gujarat,Basic Coding Languages,7.45,5.72,91,88.44
IraKumar,Female,+91 8922669380,11,Kolkata,West Bengal,Basic Coding Languages,3.82,1.48,61,52.17
AnanyaJoshi,Female,+91 9997860682,6,Surat,Gujarat,Mathematics,3.33,4.93,74,50.74
ShauryaVerma,Male,+91 8202575677,4,Guwahati,Assam,Language,7.59,8.03,54,52.88
MyraReddy,Female,+91 9728060451,15,Raipur,Chhattisgarh,Language,2.27,2.09,86,85.45
ArjunSingh,Male,+91 7016377837,6,Mysore,Karnataka,Mathematics,4.31,1.05,96,77.04
AryanSingh,Male,+91 8193434891,20,Dehradun,Uttarakhand,Science,1.08,6.63,58,51.06
AryanYadav,Male,+91 6182698459,16,Kolkata,West Bengal,Science,4.49,4.54,51,50.83
KaranYadav,Male,+91 7597642106,14,Visakhapatnam,Andhra Pradesh,Science,3.94,8.21,76,50.21
AanyaGupta,Female,+91 6070280308,13,Varanasi,Uttar Pradesh,History,7.08,7.15,60,51.62
DiyaJoshi,Female,+91 9130095740,8,Dehradun,Uttarakhand,Mathematics,3.28,7.11,66,65.41
ShauryaKumar,Male,+91 6509764019,5,Nashik,Maharashtra,History,6.15,2.49,85,72.75
AanyaReddy,Female,+91 8119731243,13,Kolkata,West Bengal,History,7.27,3.65,71,55.6
AdityaReddy,Male,+91 6515542721,18,Thiruvananthapuram,Kerala,Philosophy,3.21,4.38,81,56.12
AadyaSingh,Female,+91 7558609097,16,Bengaluru,Karnataka,Language,1.49,4.57,98,59.28
SiyaVerma,Female,+91 8371014739,17,Visakhapatnam,Andhra Pradesh,Mathematics,7.04,8,73,61.52
AadyaSingh,Female,+91 7966978813,11,Indore,Madhya Pradesh,Economics,3.92,5.47,54,51.69
IshanJoshi,Male,+91 6249058232,12,Raipur,Chhattisgarh,History,1.63,2.87,55,52.56
DiyaVerma,Female,+91 6419960355,10,Coimbatore,Tamil Nadu,Mathematics,4.46,6.8,90,62.03
AaravGupta,Male,+91 9992525539,4,Coimbatore,Tamil Nadu,Geography,2.15,1.36,70,67.92
ReyanshYadav,Male,+91 8421589869,7,Indore,Madhya Pradesh,Politics,7.2,2.24,97,73.45
KiaraSharma,Female,+91 9729528052,15,Nashik,Maharashtra,Science,3.27,2.91,55,51.65
AadyaSingh,Female,+91 8733293342,15,Bhubaneswar,Odisha,Politics,3.73,2.9,94,84.87
VivaanVerma,Male,+91 7677783452,7,Ranchi,Jharkhand,History,5.76,5.97,89,83.81
SiyaSingh,Female,+91 7811151650,10,Bengaluru,Karnataka,History,6.4,4.52,78,56.82
ReyanshVerma,Male,+91 7778726556,20,Kozhikode,Kerala,Language,4.09,6.48,56,55.83
NavyaKhan,Female,+91 8764511429,16,Surat,Gujarat,Philosophy,2.71,9.7,91,52.94
IshanYadav,Male,+91 6690136753,22,Patna,Bihar,Philosophy,2.69,9.84,71,65.21
IshanSingh,Male,+91 9618995458,5,Coimbatore,Tamil Nadu,History,6.78,1.57,83,69.32
KiaraSingh,Female,+91 7291251529,7,Bhubaneswar,Odisha,Mathematics,2.82,1.21,78,55.16
SiyaJoshi,Female,+91 9616236894,7,Visakhapatnam,Andhra Pradesh,Economics,7.91,9.4,81,65.38
AanyaPatel,Female,+91 6218002859,11,Pune,Maharashtra,Politics,2.23,3.62,78,64.07
IshanSharma,Male,+91 6726410481,16,Ahmedabad,Gujarat,History,5.96,5.02,88,54.65
RohanSingh,Male,+91 8157353554,14,Nagpur,Maharashtra,Science,3.43,2.9,65,62.91
IraKhan,Female,+91 8188666625,19,Patna,Bihar,Politics,3.02,1.62,79,78.3
AryanVerma,Male,+91 9683699293,20,Ludhiana,Punjab,Economics,3.41,6.07,72,51.68
PariYadav,Female,+91 8807163293,22,Kochi,Kerala,Mathematics,1.97,9.32,97,88.06
KiaraPatel,Female,+91 6876418828,14,Indore,Madhya Pradesh,Politics,1.85,4.78,61,51.79
ArjunVerma,Male,+91 9886405005,22,Bhubaneswar,Odisha,Geography,5.14,5.92,66,57.51
PariReddy,Female,+91 6582484342,15,Hyderabad,Telangana,Mathematics,6.41,9.69,52,50.54
IshanGupta,Male,+91 8796337691,22,Kozhikode,Kerala,Politics,5.06,8.55,97,72.81
AdityaGupta,Male,+91 9644541342,4,Agra,Uttar Pradesh,Language,4.04,1.44,53,50.7
PariKumar,Female,+91 6212529589,6,Ludhiana,Punjab,Mathematics,1.25,7.9,86,67.14
KiaraReddy,Female,+91 7333925585,17,Guwahati,Assam,Science,1.93,6.12,61,59.65
DiyaSingh,Female,+91 7229695408,21,Indore,Madhya Pradesh,Mathematics,7.07,8.24,89,72.88
VivaanSingh,Male,+91 7518733745,18,Indore,Madhya Pradesh,Economics,7.26,1.68,76,65.73
RohanKhan,Male,+91 7067134721,22,Guwahati,Assam,Science,4.38,4.14,81,59.49
ShauryaVerma,Male,+91 9426294666,14,Patna,Bihar,Economics,1.09,3.6,66,57.5
AaravReddy,Male,+91 7660491624,5,Mumbai,Maharashtra,Geography,1.26,1.73,86,70.41
IraReddy,Female,+91 9906789128,12,Mysore,Karnataka,Mathematics,7.11,9.13,93,83.6
VivaanPatel,Male,+91 7685461180,3,Varanasi,Uttar Pradesh,Mathematics,3.02,3.35,79,68.92
IraYadav,Female,+91 6925132592,7,Visakhapatnam,Andhra Pradesh,Politics,2.87,4.45,66,54.3
AaravSharma,Male,+91 8921415011,21,Kolkata,West Bengal,Economics,6.34,3.4,71,51.62
AanyaGupta,Female,+91 7396111724,19,Raipur,Chhattisgarh,Language,3.16,1.29,50,50
DiyaGupta,Female,+91 9851891168,3,Kochi,Kerala,History,2.58,9.77,78,77.96
DiyaSingh,Female,+91 8469805809,8,Indore,Madhya Pradesh,Science,7.17,3.56,90,66.67
IshanSingh,Male,+91 6496153903,10,Coimbatore,Tamil Nadu,Science,7.81,5.05,86,84.3
IshanKumar,Male,+91 8873427794,11,Kozhikode,Kerala,Politics,5.92,8.44,63,50.59
VivaanJoshi,Male,+91 8570705881,22,Patna,Bihar,Mathematics,4.27,2.53,58,57.57
AdityaReddy,Male,+91 8055483694,17,Ranchi,Jharkhand,Science,3.54,2.64,73,68.22
AaravKhan,Male,+91 6810441613,11,Kozhikode,Kerala,History,1.27,7.58,92,60.93
IraVerma,Female,+91 6788543991,22,Pune,Maharashtra,Economics,7.81,6.49,86,74.88
KaranKumar,Male,+91 6475232178,16,Hyderabad,Telangana,Language,4.8,9.28,94,60.12
IshanReddy,Male,+91 8777495466,21,Bengaluru,Karnataka,Mathematics,7.01,1.32,61,50.4
SiyaPatel,Female,+91 7583967372,15,Pune,Maharashtra,Science,7.46,2.48,83,80.72
RohanReddy,Male,+91 8568723104,8,Indore,Madhya Pradesh,Economics,6.63,6.69,100,51.58
ReyanshSharma,Male,+91 6624913715,3,Guwahati,Assam,History,5.57,8.34,82,59.19
AnanyaJoshi,Female,+91 9621278080,14,Patna,Bihar,Language,3.18,2.66,65,50.58
KiaraGupta,Female,+91 9736899846,9,Raipur,Chhattisgarh,Basic Coding Languages,2.61,4.4,73,69.83
AanyaReddy,Female,+91 8742117478,12,Kochi,Kerala,History,5.8,9.81,97,62.15
PariKhan,Female,+91 8493811701,5,Jaipur,Rajasthan,Mathematics,3.57,5.53,60,57.78
KaranYadav,Male,+91 8217819819,8,Kochi,Kerala,Economics,3.92,4.66,92,50.03
IraVerma,Female,+91 9900666806,11,Nagpur,Maharashtra,Economics,2.84,5.15,87,62.96
KaranKumar,Male,+91 6970298820,22,Ahmedabad,Gujarat,Economics,3.35,3.17,64,58.98
IshanSingh,Male,+91 6176095080,14,Kolkata,West Bengal,Basic Coding Languages,2.27,9.01,82,50.32
AryanJoshi,Male,+91 8761374242,9,Nagpur,Maharashtra,Mathematics,1.07,3.23,66,62.87
PariPatel,Female,+91 9158281150,14,Bengaluru,Karnataka,Mathematics,4.27,6.39,67,66.07
AaravJoshi,Male,+91 6257037860,4,Hyderabad,Telangana,Mathematics,2.41,4.29,60,52.57
ReyanshVerma,Male,+91 9329695126,22,Bengaluru,Karnataka,Economics,5.13,5.55,61,51.64
AanyaKhan,Female,+91 7719777253,3,Ludhiana,Punjab,Language,6.8,9.69,69,55.25
KaranJoshi,Male,+91 8372024926,8,Lucknow,Uttar Pradesh,Science,4.58,7.89,54,51.99
DiyaVerma,Female,+91 9319708014,15,Kochi,Kerala,Geography,3.43,6.37,87,55.57
ReyanshSingh,Male,+91 6449435696,19,Kolkata,West Bengal,Geography,6.5,8.12,64,63.28
KaranVerma,Male,+91 7313464832,19,Bhubaneswar,Odisha,Mathematics,1.83,6.95,80,63.2
MyraKhan,Female,+91 6440760665,21,Bengaluru,Karnataka,Basic Coding Languages,1.29,9.75,52,50.01
ReyanshGupta,Male,+91 9974098840,12,Dehradun,Uttarakhand,Mathematics,3.45,4.29,76,59.88
SiyaGupta,Female,+91 6466570152,19,Guwahati,Assam,Mathematics,3.82,4.06,88,81.12
AaravGupta,Male,+91 9314447079,11,Visakhapatnam,Andhra Pradesh,Basic Coding Languages,7.93,5.64,87,81.27
SiyaPatel,Female,+91 8069734992,8,Guwahati,Assam,Science,3.33,3.06,73,53.5
ArjunGupta,Male,+91 8734185844,4,Thiruvananthapuram,Kerala,Mathematics,5.27,3.64,85,70.61
AaravPatel,Male,+91 6681651291,14,Madurai,Tamil Nadu,Mathematics,7.07,1.5,61,58.34
ShauryaSharma,Male,+91 6888200618,17,Bhubaneswar,Odisha,Philosophy,4.65,8.42,97,61.01
KaranSingh,Male,+91 8248980097,13,Ludhiana,Punjab,Mathematics,1.49,3.63,75,65.33
ShauryaVerma,Male,+91 8561744669,5,Dehradun,Uttarakhand,Economics,5.77,9.93,98,92.62
IraPatel,Female,+91 6421670578,6,Bengaluru,Karnataka,Politics,7.38,4.49,89,60.74
VivaanKumar,Male,+91 6785964757,22,Coimbatore,Tamil Nadu,Economics,7.69,6.63,92,85.03
PariVerma,Female,+91 7386231682,18,Visakhapatnam,Andhra Pradesh,Basic Coding Languages,5.24,2.7,68,62.49
MyraReddy,Female,+91 9200536667,8,Jaipur,Rajasthan,Geography,4.21,3.75,74,54.33
AaravPatel,Male,+91 9482691452,3,Visakhapatnam,Andhra Pradesh,Science,1.68,2.77,67,60.36
